"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","url","categoryName"
"Designli","4.9",,"141 Traction St","Greenville","South Carolina","US","https://designli.co/?utm_source=GMBSC&utm_medium=orgprofile","(864) 532-2514","Software company","Design agency","Graphic designer","Website designer",,,,,"https://www.google.com/maps/search/?api=1&query=Designli&query_place_id=ChIJA8SdPjguWIgRksBi7rI0i90","Software company"
"Merit Technologies","5",,"68 Pointe Cir #3202","Greenville","South Carolina","US","https://merittechnologies.com/","(864) 908-3577","Computer support and services","Computer consultant","Computer security service","Data recovery service",,,,,"https://www.google.com/maps/search/?api=1&query=Merit%20Technologies&query_place_id=ChIJ-Viq3MUoWIgR3jl6OUaOtPo","Computer support and services"
"Kopis","4.9",,"411 University Ridge","Greenville","South Carolina","US","https://kopisusa.com/","(864) 421-9247","Software company","Business to business service","Computer consultant","Website designer",,,,,"https://www.google.com/maps/search/?api=1&query=Kopis&query_place_id=ChIJv7Jd_C0wWIgRPxjoIjPZShk","Software company"
"Worthwhile","5",,"201 Riverplace Suite 500","Greenville","South Carolina","US","https://worthwhile.com/","(864) 233-2552","Software company","E-commerce service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Worthwhile&query_place_id=ChIJPy22WPMuWIgRkdo7q1Q1xic","Software company"
"Green Cloud Defense","4.2",,"510 Airport Rd Unit A","Greenville","South Carolina","US","https://greenclouddefense.com/","(877) 465-1217","Software company","Computer support and services",,,,,,,"https://www.google.com/maps/search/?api=1&query=Green%20Cloud%20Defense&query_place_id=ChIJjfQ8l9ExWIgRwhTh6kTwjpg","Software company"
"Orange Bees","5",,"119 N Markley St","Greenville","South Carolina","US","https://www.orangebees.com/","(864) 516-1525","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Orange%20Bees&query_place_id=ChIJwztmoUowWIgRxp22ZKWFHG0","Software company"
"Net3 Technology","5",,"107 W Antrim Dr","Greenville","South Carolina","US","https://www.n3t.com/","(864) 990-0112","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Net3%20Technology&query_place_id=ChIJ_fqlmtExWIgRAehsVQ-HFds","Software company"
"Fusion Managed IT","4.9",,"119 N Markley St","Greenville","South Carolina","US","https://fusionmanagedit.com/it-company-in-greenville/?utm_source=gbp&utm_medium=gbp&utm_campaign=gbp_organic","(864) 312-5034","Computer service","Business to business service","Computer consultant","Computer networking service","Computer security service","Computer support and services","Data recovery service","Information services","https://www.google.com/maps/search/?api=1&query=Fusion%20Managed%20IT&query_place_id=ChIJmatNXjUwWIgRTj3WWGpAPOo","Computer service"
"Datasoft Technologies Inc","4.6",,"220 N Main St Suite 500","Greenville","South Carolina","US","https://www.datasoft-tech.com/","(864) 849-9022","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Datasoft%20Technologies%20Inc&query_place_id=ChIJ2afSJSeZ9YgRSNPOSIhiG6U","Software company"
"BECK Digital","4.8",,"209 N Main St Suite A","Greenville","South Carolina","US","https://beckdigital.com/","(864) 740-4500","Software company","Advertising agency","Design agency","E commerce agency","Graphic designer","Marketing agency","Website designer",,"https://www.google.com/maps/search/?api=1&query=BECK%20Digital&query_place_id=ChIJjyN0hdMxWIgRZf59BCdTeuo","Software company"
