company_name,careers_url,job_card_selector,title_selector,location_selector,link_selector,enabled,notes
Studio 511,https://www.st511.com,.job-card,h3,.location,a,false,Error: net::ERR_NAME_NOT_RESOLVED at https://www.st511.com
Strong Missions,https://www.strongmissions.com/about/careers,.job-card,h3,.location,a,false,Career path guessed
BHHS Cambridge Realty,https://www.bhhs.com/join-us,.job-card,h3,.location,a,false,Career page found
T & S Food Services,https://www.tsfoodservices.com,.job-card,h3,.location,a,false,Error: net::ERR_NAME_NOT_RESOLVED at https://www.tsfoodservices.com
Axcent Realty,https://www.axcentrealty.com,.job-card,h3,.location,a,false,Home page only
The Powell Group,https://www.thepowellgroup.net,.job-card,h3,.location,a,false,Home page only
Upstate Workforce Future's,https://www.upstateworkforceboard.org/opportunities,.job-card,h3,.location,a,false,Career page found
Smith Contracting Services,https://Inc",.job-card,h3,.location,a,false,Error: net::ERR_NAME_NOT_RESOLVED at https://Inc"
Piedmont Imaging,https://www.piedmontimaging.com/careers/,.job-card,h3,.location,a,false,Career page found
Ii5,https://www.ii5.com,.job-card,h3,.location,a,false,Error: Navigation timeout of 15000 ms exceeded
Miertec,https://www.miertec.com,.job-card,h3,.location,a,false,Error: net::ERR_CONNECTION_RESET at https://www.miertec.com
Benjamin Hardy,https://www.benjaminhardy.com,.job-card,h3,.location,a,false,Home page only
Grass Tenders,https://www.grasstenders.com,.job-card,h3,.location,a,false,Home page only
Pins Fast,https://www.pinsfast.com,.job-card,h3,.location,a,false,Home page only
Sullivan's Metropolitan Grill,https://www.sullivansmetrogrill.com,.job-card,h3,.location,a,false,Home page only
Dover Cylinder Head Service Inc,https://www.doverheads.com,.job-card,h3,.location,a,false,Home page only
Gaston Garage Door,https://www.cliffsgastoniagaragedoor.com,.job-card,h3,.location,a,false,Home page only
Rims Usa,https://www.rimsusa.net,.job-card,h3,.location,a,false,Error: net::ERR_NAME_NOT_RESOLVED at https://www.rimsusa.net
Warth Construction,https://Inc.",.job-card,h3,.location,a,false,Error: net::ERR_NAME_NOT_RESOLVED at https://Inc."
Mustang Medicine Works,https://www.mustangmedicineworks.com,.job-card,h3,.location,a,false,Error: net::ERR_CONNECTION_CLOSED at https://www.mustangmedicineworks.com
DOT Tiedown,https://www.dottiedown.com,.job-card,h3,.location,a,false,Home page only
