dork_id,category,query,frequency,notes
ats-workday,ATS Platform,"site:myworkdayjobs.com ""{{keyword}} administrator"" (""remote"" OR ""United States"")",daily,Most Fortune 500 companies — US/remote only
ats-workday-broad,ATS Platform,"site:myworkdayjobs.com ""{{keyword}}"" (""administrator"" OR ""admin"" OR ""business analyst"") (""remote"" OR ""United States"")",daily,Broader Workday catch — US/remote only
ats-workday-subdomains,ATS Platform,"(site:wd5.myworkdayjobs.com OR site:wd1.myworkdayjobs.com OR site:wd3.myworkdayjobs.com) ""{{keyword}}"" (""remote"" OR ""United States"")",weekly,Try wd1-wd5 variants — US/remote only
ats-greenhouse,ATS Platform,"site:boards.greenhouse.io ""{{keyword}} administrator"" (""remote"" OR ""United States"")",daily,Startups & mid-market tech — US/remote only
ats-greenhouse-broad,ATS Platform,"site:boards.greenhouse.io ""{{keyword}}"" (""administrator"" OR ""business analyst"" OR ""project manager"") (""remote"" OR ""United States"")",daily,Broader Greenhouse catch — US/remote only
ats-greenhouse-alt,ATS Platform,"site:job-boards.greenhouse.io ""{{keyword}}"" (""remote"" OR ""United States"")",weekly,Alternate Greenhouse URL — US/remote only
ats-icims,ATS Platform,"site:icims.com ""{{keyword}} administrator"" (""remote"" OR ""United States"")",daily,Enterprise companies — US/remote only
ats-eightfold,ATS Platform,"site:eightfold.ai ""{{keyword}} administrator"" (""remote"" OR ""United States"")",daily,Large enterprises — US/remote only
ats-lever,ATS Platform,"site:jobs.lever.co ""{{keyword}} administrator"" (""remote"" OR ""United States"")",daily,Tech startups — US/remote only
ats-phenom,ATS Platform,"site:phenom.com ""{{keyword}} administrator"" (""remote"" OR ""United States"")",weekly,Enterprise companies — US/remote only
ats-smartrecruiters,ATS Platform,"site:smartrecruiters.com ""{{keyword}} administrator"" (""remote"" OR ""United States"")",weekly,Mid-market companies — US/remote only
ats-bamboohr,ATS Platform,"site:bamboohr.com ""{{keyword}} administrator"" (""remote"" OR ""United States"")",weekly,Small-mid companies — US/remote only
ats-ashby,ATS Platform,"site:jobs.ashbyhq.com ""{{keyword}} administrator"" (""remote"" OR ""United States"")",weekly,Tech startups — US/remote only
ats-jobvite,ATS Platform,"site:jobs.jobvite.com ""{{keyword}} administrator"" (""remote"" OR ""United States"")",weekly,Various companies — US/remote only
loc-all-ats,Location,"""{{keyword}} administrator"" {{locations_or}} (site:myworkdayjobs.com OR site:boards.greenhouse.io OR site:icims.com OR site:eightfold.ai)",daily,All major ATS with configured locations
