Company Name,Company Name-Apollo,# Employees,Industry,Website,Company Linkedin Url,Company City,Company State,Annual Revenue,SIC Codes,Prerequisite: Determine Research Guidelines,Qualify Account,Prerequisite: Research Target Company
Cloud for Good,Cloud for Good-Apollo,230,information technology & services,http://www.cloud4good.com,http://www.linkedin.com/company/cloud-for-good,Asheville,North Carolina,27200000,7389,,,
Aircall,Aircall-Apollo,700,information technology & services,http://www.aircall.io,http://www.linkedin.com/company/aircall,New York,New York,175000000,7375,,,
TO Brasil,TO Brasil-Apollo,460,information technology & services,http://www.to-brasil.com,http://www.linkedin.com/company/tobrasiloficial,Rio de Janeiro,State of Rio de Janeiro,,7375,,,
Enterprise Solutions Inc.,Enterprise Solutions Inc.-Apollo,570,information technology & services,http://www.enterprisesolutioninc.com,http://www.linkedin.com/company/enterprise-solution-inc-,Warrenville,Illinois,110000000,7371,,,
CoverMyMeds,CoverMyMeds-Apollo,1800,information technology & services,http://www.covermymeds.health,http://www.linkedin.com/company/covermymeds,Columbus,Ohio,361300000,7375,,,
Intercom,Intercom-Apollo,2000,information technology & services,http://www.intercom.com,http://www.linkedin.com/company/intercom,San Francisco,California,343000000,7375,,,
Elemica,Elemica-Apollo,440,information technology & services,http://www.elemica.com,http://www.linkedin.com/company/elemica,Atlanta,Georgia,75000000,7373,,,
CSI,CSI-Apollo,1300,information technology & services,http://www.csiweb.com,http://www.linkedin.com/company/computer-services-inc-,Paducah,Kentucky,316648000,6199,,,
"Bart & Associates, Inc.","Bart & Associates, Inc.-Apollo",470,information technology & services,http://www.bna-inc.com,http://www.linkedin.com/company/bart-associates,McLean,Virginia,45988000,7375,,,
HyTechPro,HyTechPro-Apollo,330,information technology & services,http://www.hytechpro.com,http://www.linkedin.com/company/hytechpro,Noida,Uttar Pradesh,100000000,7375,,,
Celigo,Celigo-Apollo,740,information technology & services,http://www.celigo.com,http://www.linkedin.com/company/celigo-inc,Redwood City,California,92000000,7375,,,
Lone Wolf Technologies,Lone Wolf Technologies-Apollo,790,information technology & services,http://www.lwolf.com,http://www.linkedin.com/company/getlwolf,Dallas,Texas,86700000,6799,,,
Aeonvis,Aeonvis-Apollo,210,information technology & services,http://www.aeonvis.com,http://www.linkedin.com/company/aeonvis,Milan,Lombardy,,7375,,,
"Datacor, Inc.","Datacor, Inc.-Apollo",290,information technology & services,http://www.datacor.com,http://www.linkedin.com/company/datacorinc,Florham Park,New Jersey,57000000,3825,,,
CSP Tech,CSP Tech-Apollo,310,information technology & services,http://www.csptech.com.br,http://www.linkedin.com/company/csp-tech,Rio de Janeiro,State of Rio de Janeiro,,7375,,,
Apex IT,Apex IT-Apollo,320,information technology & services,http://www.apexit.com,http://www.linkedin.com/company/apex-it,Denver,Colorado,62200000,7375,,,
Grazitti Interactive,Grazitti Interactive-Apollo,1200,information technology & services,http://www.grazitti.com,http://www.linkedin.com/company/grazitti-interactive,Panchkula,Haryana,153200000,7375,,,
Sigma Technology Group,Sigma Technology Group-Apollo,1100,information technology & services,http://www.sigmatechnology.com,http://www.linkedin.com/company/sigma-technology-ab,Gothenburg,Vaestra Goetaland County,,7375,,,
Marketdata,Marketdata-Apollo,580,management consulting,http://www.marketdata.com.br,http://www.linkedin.com/company/marketdata,Sao Paulo,State of Sao Paulo,55500000,7311,,,
Ceiba Software,Ceiba Software-Apollo,550,information technology & services,http://www.ceiba.com.co,http://www.linkedin.com/company/ceibasoftware,Medellin,Antioquia,65000,7375,,,
BEGEAR,BEGEAR-Apollo,250,information technology & services,http://www.begear.it,http://www.linkedin.com/company/begear,Naples,Campania,8000000,7375,,,
Finesse Global,Finesse Global-Apollo,260,information technology & services,http://www.finessedirect.com,http://www.linkedin.com/company/finesse-fz-llc,Dubai,Dubai,5450000,7375,,,
K2 Partnering Solutions,K2 Partnering Solutions-Apollo,1400,information technology & services,http://www.k2partnering.com,http://www.linkedin.com/company/k2-partnering-solutions,London,England,18000000,7375,,,
Nakupuna Companies,Nakupuna Companies-Apollo,1100,management consulting,http://www.nakupuna.com,http://www.linkedin.com/company/nakupunacompanies,Honolulu,Hawaii,314200000,8741,,,
Sofka Technologies,Sofka Technologies-Apollo,1200,information technology & services,http://www.sofka.com.co,http://www.linkedin.com/company/sofka-technologies,Miami,Florida,55500000,7371,,,
SCC Soft Computer,SCC Soft Computer-Apollo,1300,information technology & services,http://www.softcomputer.com,http://www.linkedin.com/company/scc-soft-computer,Clearwater,Florida,140000000,7375,,,
Digital Profit,Digital Profit-Apollo,210,information technology & services,http://www.samtel.co,http://www.linkedin.com/company/samtel-consultores-colombia,Pak Kret,Nonthaburi,,7371,,,
TQuanta Inc,TQuanta Inc-Apollo,260,information technology & services,http://www.tquanta.com,http://www.linkedin.com/company/tquanta,Hyderabad,Telangana,,7375,,,
Testing Mavens,Testing Mavens-Apollo,320,information technology & services,http://www.testingmavens.com,http://www.linkedin.com/company/testing-mavens,Piscataway Township,New Jersey,40700000,7375,,,
Ideagen,Ideagen-Apollo,700,information technology & services,http://www.ideagen.com,http://www.linkedin.com/company/ideagen,Nottingham,England,90697000,8742,,,
Minute Media,Minute Media-Apollo,480,information technology & services,http://www.minutemedia.com,http://www.linkedin.com/company/minute-media,New York,New York,320000000,2711,,,
Dye & Durham Corporation,Dye & Durham Corporation-Apollo,1200,information technology & services,http://www.dyedurham.com,http://www.linkedin.com/company/dyedurhamcorporation,Toronto,Ontario,322277000,7375,,,
Tekskills Inc.,Tekskills Inc.-Apollo,660,information technology & services,http://www.tekskillsinc.com,http://www.linkedin.com/company/tekskills-inc,Princeton,New Jersey,109500000,7372,,,
Blueflame Labs,Blueflame Labs-Apollo,210,information technology & services,http://www.theblueflamelabs.com,http://www.linkedin.com/company/blueflamelabs,Pune,Maharashtra,,7375,,,
Eightfold AI,Eightfold AI-Apollo,630,information technology & services,http://www.eightfold.ai,http://www.linkedin.com/company/eightfoldai,Santa Clara,California,405600000,7375,,,
Vanta,Vanta-Apollo,1700,information technology & services,http://www.vanta.com,http://www.linkedin.com/company/vanta-security,San Francisco,California,220000000,7375,,,
Tential Solutions,Tential Solutions-Apollo,480,information technology & services,http://www.tential.com,http://www.linkedin.com/company/tential,Annapolis,Maryland,79900000,7375,,,
Housecall Pro,Housecall Pro-Apollo,1300,information technology & services,http://www.housecallpro.com,http://www.linkedin.com/company/housecallpro,Denver,Colorado,250000000,7375,,,
Konica Minolta Business Solutions Canada,Konica Minolta Business Solutions Canada-Apollo,520,information technology & services,http://www.konicaminolta.ca,http://www.linkedin.com/company/konica-minolta-business-solutions-canada,Mississauga,Ontario,,7375,,,
Pmweb,Pmweb-Apollo,310,information technology & services,http://www.pmweb.com.br,http://www.linkedin.com/company/pmweb,Sao Paulo,State of Sao Paulo,3732000,7375,,,
PwC New Zealand,PwC New Zealand-Apollo,1700,management consulting,http://www.pwc.co.nz,http://www.linkedin.com/company/pwc-new-zealand,Auckland,Auckland,244000000,,,,
Sopra Financial Technology,Sopra Financial Technology-Apollo,220,information technology & services,http://www.sopra-financial-technology.com,http://www.linkedin.com/company/sopra-financial-technology,Nuremberg,Bavaria,33700000,7375,,,
Free2move,Free2move-Apollo,480,information technology & services,http://www.free2move.com,http://www.linkedin.com/company/free2move,Paris,Ile-de-France,50000000,,,,
Origence,Origence-Apollo,530,information technology & services,http://www.origence.com,http://www.linkedin.com/company/origencecompany,Irvine,California,96400000,,,,
Motorista PX,Motorista PX-Apollo,840,information technology & services,http://www.motoristapx.com.br,http://www.linkedin.com/company/motoristapx,Joinville,Santa Catarina,29000000,4731,,,
NTConsult,NTConsult-Apollo,480,information technology & services,http://www.ntconsultcorp.com,http://www.linkedin.com/company/ntconsult,Porto Alegre,State of Rio Grande do Sul,,7375,,,
株式会社ネクストビート,株式会社ネクストビート-Apollo,370,information technology & services,http://www.nextbeat.co.jp,http://www.linkedin.com/company/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%83%8d%e3%82%af%e3%82%b9%e3%83%88%e3%83%93%e3%83%bc%e3%83%88,Shibuya City,Tokyo,2000000,,,,
QUANTEAM (RAINBOW PARTNERS Group),QUANTEAM (RAINBOW PARTNERS Group)-Apollo,350,information technology & services,http://www.quanteam.fr,http://www.linkedin.com/company/quanteam,Neuilly-sur-Seine,Ile-de-France,141000000,8731,,,
Spindox,Spindox-Apollo,1200,information technology & services,http://www.spindox.it,http://www.linkedin.com/company/spindox,Milan,Lombardy,,7375,,,
The Movement,The Movement-Apollo,430,online media,http://www.movement.college,http://www.linkedin.com/company/the-movement-college,San Diego,California,76300000,7375,,,
adesso business consulting AG,adesso business consulting AG-Apollo,880,management consulting,http://www.adesso-bc.com,http://www.linkedin.com/company/adesso-business-consulting-ag,Hamburg,Hamburg,,7375,,,
Relanto,Relanto-Apollo,640,management consulting,http://www.relanto.ai,http://www.linkedin.com/company/relanto-inc,Seattle,Washington,61500000,7375,,,
Takeaway.com,Takeaway.com-Apollo,600,information technology & services,http://www.takeaway.com,http://www.linkedin.com/company/takeaway-com,Amsterdam,Noord-Holland,265700000,7375,,,
Radiant Systems Inc,Radiant Systems Inc-Apollo,740,information technology & services,http://www.radiants.com,http://www.linkedin.com/company/radiantsystemsinc,Plainsboro Township,New Jersey,100000000,7375,,,
Shiftmove,Shiftmove-Apollo,360,information technology & services,http://www.shiftmove.com,http://www.linkedin.com/company/shiftmove,Berlin,Berlin,,7375,,,
Excelon Solutions,Excelon Solutions-Apollo,380,information technology & services,http://www.excelonsolutions.com,http://www.linkedin.com/company/excelon-solutions,Carrollton,Texas,,7375,,,
Bridgenext,Bridgenext-Apollo,2000,information technology & services,http://www.bridgenext.com,http://www.linkedin.com/company/bridgenext,Jacksonville,Florida,384500000,7375,,,
Demae-can,Demae-can-Apollo,390,information technology & services,http://www.demae-can.com,http://www.linkedin.com/company/demae-can,Shibuya,Tokyo,270146000,5812,,,
Mobilize.Net 2012-2023,Mobilize.Net 2012-2023-Apollo,500,information technology & services,http://www.gapvelocity.ai,http://www.linkedin.com/company/mobilize-acquired-by-snowflake-and-growth-acceleration-partners,Bellevue,Washington,4656000,,,,
ClickHouse,ClickHouse-Apollo,300,information technology & services,http://www.clickhouse.com,http://www.linkedin.com/company/clickhouseinc,Palo Alto,California,96000000,3571,,,
Lupus Consulting,Lupus Consulting-Apollo,220,information technology & services,http://www.lupusconsulting.com,http://www.linkedin.com/company/lupus-consulting,Budapest,Budapest,,7375,,,
Kindsight,Kindsight-Apollo,340,information technology & services,http://www.kindsight.io,http://www.linkedin.com/company/kindsightio,Scottsdale,Arizona,5000000,7389,,,
Evoke Technologies,Evoke Technologies-Apollo,1300,information technology & services,http://www.evoketechnologies.com,http://www.linkedin.com/company/evoke-technologies,Dayton,Ohio,95600000,7371,,,
"RIVA Solutions, Inc.","RIVA Solutions, Inc.-Apollo",220,information technology & services,http://www.rivasolutionsinc.com,http://www.linkedin.com/company/riva-solutions-inc-,Reston,Virginia,35100000,7379,,,
"Software Guidance & Assistance, Inc. (SGA, Inc.)","Software Guidance & Assistance, Inc. (SGA, Inc.)-Apollo",470,staffing & recruiting,http://www.sgainc.com,http://www.linkedin.com/company/software-guidance-&-assistance,Tarrytown,New York,31600000,7372,,,
Real-Time Innovations (RTI),Real-Time Innovations (RTI)-Apollo,480,information technology & services,http://www.rti.com,http://www.linkedin.com/company/rti,Sunnyvale,California,29000000,3661,,,
Qim info,Qim info-Apollo,520,information technology & services,http://www.qiminfo.ch,http://www.linkedin.com/company/qim-info,Carouge,Geneva,80300000,7375,,,
Technoidentity,Technoidentity-Apollo,230,information technology & services,http://www.technoidentity.com,http://www.linkedin.com/company/technoidentity,Richardson,Texas,29000000,7375,,,
Lumenalta,Lumenalta-Apollo,580,information technology & services,http://www.lumenalta.com,http://www.linkedin.com/company/lumenalta,New York,New York,5000000,7375,,,
CallRail,CallRail-Apollo,310,information technology & services,http://www.callrail.com,http://www.linkedin.com/company/callrail,Atlanta,Georgia,100000000,7375,,,
